position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
CUT,"Higgs, Harry",3,null,-0.804,-0.697,-1.11,0.264,-1.542,-2.346
CUT,"Vegas, Jhonattan",4,null,0.429,-1.129,-2.04,-0.107,-3.276,-2.846
CUT,"Lipsky, David",4,null,-0.621,0.01,-1.419,-0.815,-2.224,-2.846
CUT,"Baddeley, Aaron",4,null,-0.425,-0.596,-0.606,-1.22,-2.421,-2.846
CUT,"Kent, Noah",4,null,-1.721,-0.421,-1.056,0.352,-1.125,-2.846
CUT,"Snedeker, Brandt",5,null,-0.12,-0.579,-1.131,-1.516,-3.226,-3.346
CUT,"Harrington, Padraig",5,null,-0.398,-1.085,-1.825,-0.039,-2.949,-3.346
CUT,"Lawrence, Thriston",6,null,-0.467,-0.583,-2.309,-0.486,-3.379,-3.846
CUT,"Chandler, Will",6,null,-1.592,-0.421,-1.714,-0.12,-2.254,-3.846
CUT,"Covello, Vince",7,null,-0.863,-1.361,-1.697,-0.424,-3.483,-4.346
CUT,"Waring, Paul",8,null,-1.678,-0.535,-1.726,-0.906,-3.167,-4.846
CUT,"Walker, Jimmy",13,null,-1.542,-2.232,-2.713,-0.859,-5.803,-7.346
CUT,"Palmer, Ryan",16,null,-2.47,-1.403,-4.007,-0.966,-6.377,-8.846
WD,"Lee, K.H.",5,null,-0.069,-3.266,-1.272,-0.098,-4.636,-4.706
