position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
CUT,"Del Solar, Cristobal",9,null,-0.632,-0.702,-1.489,-0.368,-2.558,-3.191
CUT,"Suber, Jackson",9,null,-1.987,-1.346,0.463,-0.32,-1.204,-3.191
CUT,"Ramey, Chad",10,null,-0.824,-2.187,-0.619,-0.06,-2.867,-3.691
CUT,"Lawrence, Thriston",10,null,-2.787,-0.563,-0.19,-0.151,-0.904,-3.691
CUT,"Kohles, Ben",10,null,-2.549,1.381,-2.425,-0.099,-1.141,-3.691
CUT,"Capan III, Frankie",10,null,-1.409,-0.395,-0.37,-1.516,-2.281,-3.691
CUT,"Riedel, Matthew",10,null,-0.745,0.237,-1.505,-1.677,-2.945,-3.691
CUT,"Schenk, Adam",12,null,-1.897,0.121,-2.709,-0.206,-2.793,-4.691
CUT,"Hojgaard, Rasmus",12,null,-1.276,-0.793,-2.052,-0.57,-3.414,-4.691
CUT,"Chi, Andre",13,null,-2.621,-0.989,-0.41,-1.171,-2.57,-5.191
CUT,"Knowles, Philip",14,null,-1.304,-1.468,-1.331,-1.587,-4.386,-5.691
