position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
1,"Scheffler, Scottie",-11,-4,0.455,1.966,0.779,1.372,4.117,4.572
2,"Aberg, Ludvig",-7,-3,1.998,-0.575,0.876,1.273,1.574,3.572
T3,"Fleetwood, Tommy",-4,-3,0.579,0.724,0.992,0.528,2.243,2.822
T3,"Homa, Max",-4,1,0.705,0.515,1.07,0.533,2.118,2.822
T3,"Morikawa, Collin",-4,2,0.847,0.152,1.346,0.478,1.975,2.822
T6,"Smith, Cameron",-2,-1,1.062,1.514,-0.092,-0.163,1.26,2.322
T6,"DeChambeau, Bryson",-2,1,0.408,-0.282,0.498,1.699,1.914,2.322
8,"Schauffele, Xander",-1,1,0.408,0.272,1.228,0.165,1.665,2.072
T9,"Hatton, Tyrrell",0,-3,0.118,1.116,0.4,0.189,1.705,1.822
T9,"Zalatoris, Will",0,-3,-0.461,0.463,1.272,0.548,2.282,1.822
T9,"Young, Cameron",0,1,0.75,-0.706,0.572,1.206,1.072,1.822
T12,"Schenk, Adam",1,1,0.513,0.276,0.406,0.377,1.059,1.572
T12,"Reed, Patrick",1,0,0.949,1.181,0.021,-0.579,0.624,1.572
T12,"Davis, Cam",1,3,0.759,-0.23,0.9,0.145,0.813,1.572
T12,"Pavon, Matthieu",1,0,0.257,0.681,-0.402,1.036,1.316,1.572
T16,"Kirk, Chris",2,1,0.969,-0.152,0.645,-0.139,0.354,1.322
T16,"An, Byeong Hun",2,3,-0.966,0.962,0.453,0.873,2.288,1.322
T16,"Straka, Sepp",2,0,-0.475,0.075,0.935,0.787,1.797,1.322
T16,"Hojgaard, Nicolai",2,4,0.509,0.987,-0.41,0.235,0.813,1.322
T20,"Glover, Lucas",3,3,0.752,-0.521,0.669,0.172,0.321,1.072
T20,"Moore, Taylor",3,-2,-0.042,0.67,0.093,0.352,1.114,1.072
T22,"McIlroy, Rory",4,1,0.153,-0.394,0.091,0.972,0.67,0.822
T22,"English, Harris",4,-1,0.119,0.782,-0.212,0.133,0.703,0.822
T22,"Niemann, Joaquin",4,1,-0.322,0.044,0.694,0.406,1.144,0.822
T22,"Fitzpatrick, Matt",4,3,1.622,-0.514,-0.646,0.36,-0.8,0.822
T22,"Cantlay, Patrick",4,4,-0.679,0.37,0.978,0.155,1.502,0.822
T22,"Bradley, Keegan",4,-3,0.527,-0.542,1.184,-0.347,0.295,0.822
T22,"Scott, Adam",4,0,0.152,0.255,0.984,-0.569,0.67,0.822
T22,"Lee, Min Woo",4,-3,0,-0.63,0.135,1.317,0.822,0.822
T30,"Day, Jason",5,-3,0.283,1.004,-0.185,-0.531,0.289,0.572
T30,"Kim, Si Woo",5,-2,0.077,0.162,-0.574,0.907,0.495,0.572
T30,"Poston, J.T.",5,-2,-0.006,0.304,-0.11,0.384,0.579,0.572
T30,"Fowler, Rickie",5,0,0.188,0.718,0.69,-1.023,0.385,0.572
T30,"Kim, Tom",5,-6,-0.556,-0.123,1.43,-0.178,1.129,0.572
T35,"Villegas, Camilo",6,-3,0.81,0.831,0.241,-1.56,-0.488,0.322
T35,"Bhatia, Akshay",6,1,0.19,1.072,-1.205,0.265,0.132,0.322
T35,"Kitayama, Kurt",6,-4,-0.158,0.036,-0.147,0.591,0.481,0.322
T38,"Conners, Corey",7,1,0.318,-0.513,0.591,-0.324,-0.246,0.072
T38,"Henley, Russell",7,-1,0.097,0.241,-0.158,-0.109,-0.025,0.072
T38,"List, Luke",7,2,-0.03,0.769,0.203,-0.869,0.102,0.072
T38,"Matsuyama, Hideki",7,2,0.136,0.26,-0.471,0.146,-0.064,0.072
T38,"Fox, Ryan",7,3,-0.403,0.765,-0.766,0.478,0.475,0.072
T43,"Mickelson, Phil",8,2,0.57,-0.557,0.435,-0.625,-0.747,-0.178
T43,"Lowry, Shane",8,2,-1.945,-0.005,1.611,0.16,1.766,-0.178
T45,"Koepka, Brooks",9,3,0.783,-1.095,-0.356,0.24,-1.211,-0.428
T45,"Rahm, Jon",9,4,-1.047,0.084,0.484,0.051,0.619,-0.428
T45,"Willett, Danny",9,6,-0.04,-0.682,0.702,-0.407,-0.388,-0.428
T45,"McCarthy, Denny",9,-2,1.186,-0.745,-0.077,-0.793,-1.614,-0.428
T45,"Theegala, Sahith",9,3,0.034,-0.683,-0.275,0.495,-0.462,-0.428
T45,"Olazabal, Jose Maria",9,0,0.471,0.62,-0.04,-1.479,-0.898,-0.428
51,"Murray, Grayson",10,-2,-1.093,0.238,0.234,-0.057,0.415,-0.678
52,"Cole, Eric",11,1,-0.383,0.235,-0.421,-0.359,-0.545,-0.928
T53,"Hadwin, Adam",12,-2,0.676,0.21,-1.524,-0.54,-1.854,-1.178
T53,"Shipley, Neal",12,1,0.03,-0.171,-0.079,-0.959,-1.208,-1.178
T55,"Finau, Tony",13,8,-1.489,-1.273,-0.023,1.358,0.061,-1.428
T55,"Van Rooyen, Erik",13,4,0.054,-0.179,-0.378,-0.925,-1.482,-1.428
T55,"Knapp, Jake",13,1,-0.846,-0.738,0.351,-0.195,-0.581,-1.428
T58,"Singh, Vijay",14,0,-0.511,-0.013,-0.484,-0.67,-1.167,-1.678
T58,"Olesen, Thorbjorn",14,3,0.672,-1.36,-0.83,-0.16,-2.349,-1.678
60,"Woods, Tiger",16,5,-0.973,0.358,-0.688,-0.875,-1.205,-2.178
CUT,"Thomas, Justin",7,null,-1.268,0.491,-0.417,-0.054,0.021,-1.247
CUT,"Weir, Mike",7,null,-2.208,0.716,0.43,-0.185,0.961,-1.247
CUT,"Garcia, Sergio",7,null,0.268,-0.7,-0.71,-0.105,-1.515,-1.247
CUT,"Im, Sungjae",7,null,0.936,0.073,-2.686,0.43,-2.183,-1.247
