position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
CUT,"Bhatia, Akshay",8,null,-0.496,0.447,-1.805,-0.854,-2.212,-2.708
CUT,"Pendrith, Taylor",8,null,-2.498,-2.055,1.284,0.561,-0.21,-2.708
CUT,"Potgieter, Aldrich",8,null,-0.092,-1.484,1.661,-2.794,-2.617,-2.708
CUT,"Horschel, Billy",9,null,-0.456,-0.981,-0.55,-1.221,-2.752,-3.208
CUT,"Campbell, Brian",9,null,0.69,0.51,-0.982,-3.426,-3.898,-3.208
CUT,"McNealy, Maverick",9,null,0.136,-3.11,-0.785,0.55,-3.345,-3.208
CUT,"Young, Cameron",9,null,0.157,-1.723,-0.855,-0.788,-3.365,-3.208
CUT,"Dunlap, Nick",10,null,-0.018,0.003,0.107,-3.8,-3.69,-3.708
CUT,"Kim, Tom",10,null,-2.948,-0.514,0.197,-0.444,-0.761,-3.708
CUT,"Campos, Rafael",12,null,-0.019,-1.508,-0.385,-2.797,-4.689,-4.708
CUT,"Pavon, Matthieu",14,null,-0.599,-0.597,-2.43,-2.083,-5.11,-5.708
