position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
CUT,"Perez, Victor",7,null,-0.226,-1.899,-0.263,0.314,-1.848,-2.074
CUT,"Johnson, Zach",7,null,-0.269,-1.333,-0.212,-0.26,-1.805,-2.074
CUT,"Langer, Bernhard",7,null,0.094,-1.411,0.434,-1.191,-2.168,-2.074
CUT,"Gay, Brian",8,null,-0.31,0.515,-0.884,-1.894,-2.263,-2.574
CUT,"Cantlay, Patrick",8,null,-2.034,0.45,-2.048,1.058,-0.54,-2.574
CUT,"Osborne, Ollie",8,null,-1.033,-0.216,-0.6,-0.725,-1.541,-2.574
CUT,"Day, Jason",9,null,-1.19,1.12,-2.759,-0.246,-1.884,-3.074
CUT,"Ortiz, Carlos",9,null,-1.176,-2.31,-0.854,1.266,-1.898,-3.074
CUT,"Woosnam, Ian",9,null,0.703,-0.587,-2.163,-1.027,-3.777,-3.074
CUT,"Long, Joe",10,null,-1.383,-0.489,-1.085,-0.616,-2.191,-3.574
CUT,"Swafford, Hudson",12,null,-0.823,-1.682,-1.83,-0.239,-3.751,-4.574
CUT,"Lyle, Sandy",12,null,-1.457,-0.932,-0.706,-1.479,-3.117,-4.574
CUT,"Im, Sungjae",13,null,-1.634,-1.51,-2.381,0.452,-3.439,-5.074
CUT,"Couples, Fred",13,null,-1.057,-0.823,-2.611,-0.584,-4.017,-5.074
CUT,"Singh, Vijay",15,null,-0.763,-2.514,-1.724,-1.073,-5.311,-6.074
CUT,"Strafaci, Tyler",17,null,-0.844,-1.632,-2.08,-2.518,-6.23,-7.074
CUT,"Mize, Larry",19,null,-2.331,-1.385,-2.801,-1.557,-5.743,-8.074
DQ,"Wolff, Matthew",11,null,null,null,null,null,null,-4.074
