position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
CUT,"Del Solar, Cristobal",5,null,-0.129,0.899,-2.491,-1.157,-2.75,-2.878
CUT,"Schmid, Matti",6,null,-0.187,-2.635,0.176,-0.732,-3.192,-3.378
CUT,"Logan, Hunter",6,null,1.074,-1.718,-1.455,-1.279,-4.452,-3.378
CUT,"Pockels, Patrick",6,null,-1.042,-0.276,-2.319,0.258,-2.337,-3.378
CUT,"Chandler, Will",6,null,-0.483,-0.328,-2.375,-0.193,-2.895,-3.378
CUT,"Baddeley, Aaron",7,null,-0.926,1.028,-0.958,-3.022,-2.952,-3.878
CUT,"Paul, Jeremy",7,null,-3.291,0.447,-0.537,-0.497,-0.588,-3.878
CUT,"Waring, Paul",7,null,-3.081,0.478,-0.116,-1.159,-0.798,-3.878
CUT,"Suber, Jackson",8,null,-3.484,0.019,-0.278,-0.635,-0.895,-4.378
CUT,"Covello, Vince",11,null,-2.675,-1.35,-1.577,-0.276,-3.203,-5.878
