position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
1,"Rahm, Jon",-12,-3,0.495,0.775,1.205,1.579,3.559,4.01
T2,"Koepka, Brooks",-8,3,1.232,-0.373,1.617,0.578,1.822,3.01
T2,"Mickelson, Phil",-8,-7,1.243,-0.171,1.173,0.809,1.811,3.01
T4,"Henley, Russell",-7,-2,1.24,1.423,0.057,0.085,1.564,2.76
T4,"Spieth, Jordan",-7,-6,0.844,0.771,0.662,0.527,1.96,2.76
T4,"Reed, Patrick",-7,-4,0.827,1.001,0.837,0.14,1.978,2.76
T7,"Hovland, Viktor",-6,2,0.813,0.057,0.731,0.953,1.741,2.51
T7,"Young, Cameron",-6,-4,1.152,-0.239,0.044,1.598,1.403,2.51
9,"Theegala, Sahith",-5,-5,0.81,0.335,0.438,0.722,1.495,2.26
T10,"Scheffler, Scottie",-4,-2,-1.157,0.382,1.711,1.12,3.212,2.01
T10,"Schauffele, Xander",-4,-1,0.009,0.732,1.226,0.088,2.045,2.01
T10,"Fitzpatrick, Matt",-4,-2,0.782,-0.727,1.038,0.961,1.272,2.01
T10,"Morikawa, Collin",-4,0,0.606,0.255,0.757,0.436,1.449,2.01
T14,"Woodland, Gary",-3,0,0.607,-0.354,1.092,0.46,1.198,1.76
T14,"Cantlay, Patrick",-3,3,-0.975,0.616,1.543,0.62,2.779,1.76
T16,"Niemann, Joaquin",-2,0,0.902,0.497,-0.96,1.114,0.652,1.51
T16,"Lowry, Shane",-2,1,-0.42,0.67,0.157,1.148,1.974,1.51
T16,"Matsuyama, Hideki",-2,3,-0.484,1.145,0.761,0.132,2.038,1.51
T16,"Im, Sungjae",-2,0,0.044,0.629,0.84,0.041,1.51,1.51
T16,"Rose, Justin",-2,1,1.516,0.416,0.064,-0.442,0.038,1.51
T16,"Kim, Tom",-2,-2,0.415,-0.09,0.632,0.597,1.139,1.51
T16,"Bennett, Sam",-2,2,0.262,0.35,1.042,-0.099,1.292,1.51
T23,"Kirk, Chris",-1,-1,0.766,0.468,0.592,-0.522,0.538,1.26
T23,"Bradley, Keegan",-1,-1,0.45,0.845,-0.114,0.122,0.854,1.26
T23,"Lee, K.H.",-1,0,-0.339,0.474,0.576,0.594,1.643,1.26
T26,"Stallings, Scott",0,0,0.823,0.001,-0.008,0.238,0.231,1.01
T26,"Finau, Tony",0,0,-0.478,0.848,1.128,-0.443,1.532,1.01
T26,"Fox, Ryan",0,1,0.218,0.145,0.479,0.212,0.836,1.01
T29,"Burns, Sam",1,0,-0.051,-0.378,0.59,0.642,0.855,0.76
T29,"Kim, Si Woo",1,0,0.036,0.184,0.634,-0.05,0.768,0.76
T29,"Varner III, Harold",1,-2,1.212,-0.135,-0.783,0.511,-0.408,0.76
T29,"Hughes, Mackenzie",1,-2,0.326,0.041,1.146,-0.709,0.478,0.76
33,"Fleetwood, Tommy",3,2,0.301,-0.205,-0.214,0.422,0.003,0.26
T34,"Smith, Cameron",4,3,0.847,0.031,-0.037,-0.787,-0.793,0.01
T34,"Gooch, Talor",4,1,0.32,-0.342,0.4,-0.325,-0.266,0.01
T34,"Poston, J.T.",4,-2,0.001,0.122,0.63,-0.698,0.053,0.01
T34,"Hatton, Tyrrell",4,4,-0.201,-0.165,0.406,0.013,0.254,0.01
T34,"Johnson, Zach",4,1,-0.649,0.336,0.318,0.05,0.704,0.01
T39,"Day, Jason",5,8,-0.056,0.309,0.018,-0.468,-0.141,-0.24
T39,"Ancer, Abraham",5,4,0.593,-0.745,-0.129,0.086,-0.789,-0.24
T39,"Scott, Adam",5,2,0.227,0.635,-1.559,0.5,-0.423,-0.24
T39,"Moore, Taylor",5,6,0.011,-0.398,-0.008,0.2,-0.206,-0.24
T43,"Homa, Max",6,6,-0.146,-0.211,0.861,-0.949,-0.299,-0.49
T43,"English, Harris",6,3,0.554,0.499,-1.287,-0.213,-1,-0.49
T43,"Pereira, Mito",6,1,-1.322,-0.995,1.288,0.584,0.876,-0.49
T46,"Power, Seamus",7,5,1.123,-1.45,0.332,-0.7,-1.819,-0.74
T46,"Straka, Sepp",7,6,0.429,-0.147,-1.704,0.726,-1.125,-0.74
T48,"Johnson, Dustin",8,3,-1.196,-0.648,0.512,0.386,0.25,-0.99
T48,"Pieters, Thomas",8,5,-1.904,-0.005,0.605,0.358,0.958,-0.99
T50,"Schwartzel, Charl",9,5,-0.153,-0.299,0.263,-1.006,-1.042,-1.24
T50,"Couples, Fred",9,4,-0.129,0.504,-0.536,-1.035,-1.067,-1.24
52,"Horschel, Billy",12,7,0.631,-0.966,-0.946,-0.665,-2.577,-1.99
53,"Mitchell, Keith",14,7,-0.364,-0.627,-1.317,-0.138,-2.082,-2.49
CUT,"Thomas, Justin",4,null,-1.196,0.117,-0.74,0.657,0.035,-1.196
CUT,"Hoge, Tom",4,null,-1.57,0.655,0.008,-0.255,0.407,-1.196
CUT,"Weir, Mike",4,null,-0.209,1.127,-0.719,-1.361,-0.953,-1.196
CUT,"DeChambeau, Bryson",4,null,-0.801,-0.869,-1.034,1.542,-0.361,-1.196
CUT,"Molinari, Francesco",4,null,-0.804,0.45,-1.104,0.296,-0.358,-1.196
CUT,"McIlroy, Rory",5,null,-0.852,-1.343,-1.312,1.844,-0.81,-1.696
CUT,"Kisner, Kevin",5,null,1.762,1.867,-1.23,-4.06,-3.424,-1.696
CUT,"Meronk, Adrian",5,null,0.384,-0.296,-0.569,-1.181,-2.046,-1.696
CUT,"Langer, Bernhard",5,null,-1.073,1.034,-0.469,-1.154,-0.589,-1.696
CUT,"Carr, Ben",5,null,-1.676,0.035,-1.093,1.073,0.014,-1.696
CUT,"Willett, Danny",6,null,-1.666,-0.129,-0.251,-0.115,-0.496,-2.196
CUT,"Champ, Cameron",6,null,0.938,-1.594,-1.728,0.223,-3.1,-2.196
CUT,"Singh, Vijay",6,null,-1.774,0.233,0.212,-0.833,-0.389,-2.196
CUT,"Lee, Min Woo",6,null,0.342,0.095,-3.439,0.84,-2.504,-2.196
CUT,"Higa, Kazuki",6,null,-0.822,1.006,-0.861,-1.485,-1.34,-2.196
CUT,"Harman, Brian",7,null,-1,0.939,-1.448,-1.152,-1.661,-2.696
CUT,"Garcia, Sergio",7,null,-0.979,-1.361,-0.5,0.177,-1.683,-2.696
CUT,"Potgieter, Aldrich",7,null,0.327,-3.34,-1.566,1.917,-2.989,-2.696
CUT,"Fernandez De Oliveira, Mateo",7,null,0.412,0.087,-2.686,-0.474,-3.074,-2.696
CUT,"Mcclean, Matthew",7,null,0.815,-1.645,-0.052,-1.78,-3.476,-2.696
CUT,"Conners, Corey",8,null,-1.454,-2.455,-0.191,0.939,-1.708,-3.196
CUT,"Kokrak, Jason",8,null,-2.282,-0.175,-1.569,0.863,-0.881,-3.196
CUT,"Kitayama, Kurt",8,null,-2.978,-0.35,0.222,-0.056,-0.184,-3.196
CUT,"Crowe, Harrison",8,null,-1.888,1.109,-1.24,-1.143,-1.274,-3.196
CUT,"Watson, Bubba",9,null,-1.277,-0.572,-1.508,-0.305,-2.384,-3.696
CUT,"Noren, Alex",9,null,-0.459,0.108,-0.72,-2.591,-3.202,-3.696
CUT,"Sargent, Gordon",9,null,-1.532,-3.745,0.481,1.134,-2.131,-3.696
CUT,"Olazabal, Jose Maria",10,null,-0.312,0.565,-2.205,-2.21,-3.85,-4.196
CUT,"Svensson, Adam",11,null,-2.614,-0.792,-0.679,-0.576,-2.047,-4.696
CUT,"Mize, Larry",15,null,-1.756,0.059,-1.651,-3.314,-4.905,-6.696
CUT,"Lyle, Sandy",20,null,0.68,-1.825,-2.912,-5.105,-9.842,-9.196
WD,"Woods, Tiger",3,null,0.232,0.093,-0.527,-0.46,-0.895,-0.696
WD,"Oosthuizen, Louis",4,null,2.294,-1.583,-2.11,-2.222,-5.914,-3.663
