position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
1,"Johnson, Dustin",-20,-4,null,null,null,null,null,4.789
T2,"Smith, Cameron",-15,-3,null,null,null,null,null,3.539
T2,"Im, Sungjae",-15,-3,null,null,null,null,null,3.539
4,"Thomas, Justin",-12,-2,null,null,null,null,null,2.789
T5,"McIlroy, Rory",-11,-3,null,null,null,null,null,2.539
T5,"Frittelli, Dylan",-11,0,null,null,null,null,null,2.539
T7,"Koepka, Brooks",-10,-2,null,null,null,null,null,2.289
T7,"Rahm, Jon",-10,-1,null,null,null,null,null,2.289
T7,"Pan, C.T.",-10,-4,null,null,null,null,null,2.289
T10,"Conners, Corey",-9,-3,null,null,null,null,null,2.039
T10,"Simpson, Webb",-9,-4,null,null,null,null,null,2.039
T10,"Reed, Patrick",-9,0,null,null,null,null,null,2.039
T13,"Ancer, Abraham",-8,4,null,null,null,null,null,1.789
T13,"Matsuyama, Hideki",-8,0,null,null,null,null,null,1.789
T13,"Na, Kevin",-8,-2,null,null,null,null,null,1.789
T13,"Leishman, Marc",-8,-4,null,null,null,null,null,1.789
T17,"Schauffele, Xander",-7,-2,null,null,null,null,null,1.539
T17,"Cantlay, Patrick",-7,0,null,null,null,null,null,1.539
T19,"Fleetwood, Tommy",-6,2,null,null,null,null,null,1.289
T19,"Scheffler, Scottie",-6,-1,null,null,null,null,null,1.289
T19,"Champ, Cameron",-6,0,null,null,null,null,null,1.289
T19,"Munoz, Sebastian",-6,3,null,null,null,null,null,1.289
T23,"Oosthuizen, Louis",-5,-2,null,null,null,null,null,1.039
T23,"Rose, Justin",-5,-2,null,null,null,null,null,1.039
T25,"Poulter, Ian",-4,-2,null,null,null,null,null,0.789
T25,"Willett, Danny",-4,1,null,null,null,null,null,0.789
T25,"Schwartzel, Charl",-4,-1,null,null,null,null,null,0.789
T25,"Lowry, Shane",-4,1,null,null,null,null,null,0.789
T29,"Reavie, Chez",-3,-2,null,null,null,null,null,0.539
T29,"Kang, Sung",-3,-2,null,null,null,null,null,0.539
T29,"Taylor, Nick",-3,0,null,null,null,null,null,0.539
T29,"Fowler, Rickie",-3,-2,null,null,null,null,null,0.539
T29,"Langer, Bernhard",-3,-1,null,null,null,null,null,0.539
T34,"DeChambeau, Bryson",-2,1,null,null,null,null,null,0.289
T34,"Kim, Si Woo",-2,0,null,null,null,null,null,0.289
T34,"Scott, Adam",-2,1,null,null,null,null,null,0.289
T34,"Ogletree, Andy",-2,0,null,null,null,null,null,0.289
T38,"Casey, Paul",-1,5,null,null,null,null,null,0.039
T38,"Horschel, Billy",-1,3,null,null,null,null,null,0.039
T38,"Finau, Tony",-1,0,null,null,null,null,null,0.039
T38,"Bezuidenhout, Christiaan",-1,-1,null,null,null,null,null,0.039
T38,"Westwood, Lee",-1,2,null,null,null,null,null,0.039
T38,"Woods, Tiger",-1,4,null,null,null,null,null,0.039
T44,"Morikawa, Collin",0,2,null,null,null,null,null,-0.211
T44,"Imahira, Shugo",0,2,null,null,null,null,null,-0.211
T46,"Howell III, Charles",1,2,null,null,null,null,null,-0.461
T46,"Fitzpatrick, Matt",1,0,null,null,null,null,null,-0.461
T46,"Spieth, Jordan",1,0,null,null,null,null,null,-0.461
T46,"Wallace, Matt",1,5,null,null,null,null,null,-0.461
T46,"Perez, Victor",1,0,null,null,null,null,null,-0.461
T51,"Cabrera Bello, Rafa",2,0,null,null,null,null,null,-0.711
T51,"Weir, Mike",2,4,null,null,null,null,null,-0.711
T51,"Janewattananond, Jazz",2,3,null,null,null,null,null,-0.711
T51,"Johnson, Zach",2,1,null,null,null,null,null,-0.711
T55,"Mickelson, Phil",3,1,null,null,null,null,null,-0.961
T55,"Augenstein, John",3,3,null,null,null,null,null,-0.961
57,"Watson, Bubba",4,6,null,null,null,null,null,-1.211
58,"Wiesberger, Bernd",6,1,null,null,null,null,null,-1.711
59,"Snedeker, Brandt",7,2,null,null,null,null,null,-1.961
60,"Walker, Jimmy",8,4,null,null,null,null,null,-2.211
CUT,"Woodland, Gary",1,null,null,null,null,null,null,-0.888
CUT,"Homa, Max",1,null,null,null,null,null,null,-0.888
CUT,"McDowell, Graeme",1,null,null,null,null,null,null,-0.888
CUT,"Putnam, Andrew",1,null,null,null,null,null,null,-0.888
CUT,"An, Byeong Hun",1,null,null,null,null,null,null,-0.888
CUT,"Stenson, Henrik",1,null,null,null,null,null,null,-0.888
CUT,"Kuchar, Matt",1,null,null,null,null,null,null,-0.888
CUT,"Hadwin, Adam",1,null,null,null,null,null,null,-0.888
CUT,"Todd, Brendon",2,null,null,null,null,null,null,-1.388
CUT,"Harding, Justin",2,null,null,null,null,null,null,-1.388
CUT,"Kisner, Kevin",3,null,null,null,null,null,null,-1.888
CUT,"Griffin, Lanto",3,null,null,null,null,null,null,-1.888
CUT,"Wolff, Matthew",3,null,null,null,null,null,null,-1.888
CUT,"Hatton, Tyrrell",3,null,null,null,null,null,null,-1.888
CUT,"Mize, Larry",3,null,null,null,null,null,null,-1.888
CUT,"Day, Jason",4,null,null,null,null,null,null,-2.388
CUT,"Kokrak, Jason",4,null,null,null,null,null,null,-2.388
CUT,"Poston, J.T.",4,null,null,null,null,null,null,-2.388
CUT,"Duncan, Tyler",4,null,null,null,null,null,null,-2.388
CUT,"Sugrue, James",4,null,null,null,null,null,null,-2.388
CUT,"Molinari, Francesco",6,null,null,null,null,null,null,-3.388
CUT,"Couples, Fred",6,null,null,null,null,null,null,-3.388
CUT,"Michel, Lukas",6,null,null,null,null,null,null,-3.388
CUT,"Glover, Lucas",7,null,null,null,null,null,null,-3.888
CUT,"Lashley, Nate",7,null,null,null,null,null,null,-3.888
CUT,"Lyle, Sandy",7,null,null,null,null,null,null,-3.888
CUT,"Lin, Yuxin",8,null,null,null,null,null,null,-4.388
CUT,"Olazabal, Jose Maria",14,null,null,null,null,null,null,-7.388
CUT,"Landry, Andrew",16,null,null,null,null,null,null,-8.388
CUT,"Gallegos, Abel",16,null,null,null,null,null,null,-8.388
WD,"Singh, Vijay",3,null,null,null,null,null,null,-3.587
WD,"Van Rooyen, Erik",4,null,null,null,null,null,null,-4.587
